Catalog #,Class 2,Class 3,Class 4,Obj Des Details:Obj Name,Material,Common Name,Quantity,Collector,Locality,Ctry-Cont-Ocean,State-Prov-Sea,Cty-Bay-Parish,St Site No,Site Info:Site Name,Map Qd-Scl:Map-Quad,Remarks
000060000.0000,PREHISTORIC,MINERAL,STONE,flaked stone tools,mixed lithic,stone tools,214.00,VMI - specific collector unknown,"Pedlar Mills, Site 21",United States,Virginia,Amherst,,"Pedlar Mills, Site 21",Big Island,"Mixed flaked stone tools - points, blades, preforms, knives, etc.  Box label lists site as Pedlar Mill, Site 21, Amherst Co."
000060001.0000,HISTORIC,MINERAL,CLAY,pipe,ceramic,pipe,1.00,VMI - specific collector unknown,"Pedlar Mills, Site 21",United States,Virginia,Amherst,,"Pedlar Mills, Site 21",,"Box label lists site as Pedlar Mill, Site 21, Amherst Co."
000060002.0000,HISTORIC,MINERAL,METAL,undetermined,iron,iron fragments,3.00,VMI - specific collector unknown,"Pedlar Mills, Site 21",United States,Virginia,Amherst,,,,"Box label lists site as Pedlar Mill, Site 21, Amherst Co."
000060003.0000,PREHISTORIC,MINERAL,STONE,ground stone tool -,greenstone,stone tools,1.00,VMI - specific collector unknown,"Pedlar Mills, Site 21",United States,Virginia,Amherst,,,,"Possible axe, celt, adze.  Box label lists site as Pedlar Mill, Site 21, Amherst Co. [CR]6/5/2020 Pre-upgrad to Proficio Note by JKHarris: Full Object Name in Obj-Sci Name = ground stone tool - unidentified."
000060004.0000,PREHISTORIC,MINERAL,STONE,flaked stone tools,mixed lithic,stone tools,138.00,VMI - specific collector unknown,"Pedlar Mills, Site 21",United States,Virginia,Amherst,,,,"Mixed flaked stone tools - points, blades, preforms, knives, etc.  Box label lists site as Pedlar Mill, Site 21, Amherst Co."
000060005.0000,PREHISTORIC,MINERAL,STONE,flaked stone tools,mixed lithic,stone tools,67.00,VMI - specific collector unknown,,United States,Pennsylvania,,,,,"Mixed flaked stone tools - points, knives, blades, etc.  VMI P-95 on tag"
000060006.0000,PREHISTORIC,MINERAL,CERAMIC,potsherd,ceramic,potsherd,1.00,VMI - specific collector unknown,,United States,Pennsylvania,,,,,VMI P-95 on tag
000060007.0000,PREHISTORIC,MINERAL,STONE,flaked stone tools,quartz-mixed lithic,stone tools,94.00,VMI - specific collector unknown,,United States,Pennsylvania,,,,,"Mixed flaked stone tools, all quartz - points, knives, blades, etc.  VMI C-8 on tag."
000060008.0000,PREHISTORIC,MINERAL,STONE,flaked stone tools,mixed lithic,stone tools,115.00,VMI - specific collector unknown,,United States,Tennessee,,,,,"Mixed flaked stone tools - points, knives, scrapers, blades, etc.[CR][CR]Notes from 1st  tag:[CR]VMI B-11 (was B-24) [CR]Original count mixed focus 132[CR]114 ST[CR](Col box has Gem pts)[CR][CR]Count by GCS [CR]Loose , n=122[CR]Small box N.  Mex. VMI 82, n=1[CR]Small box Colorado VMI 83, n=2[CR]Small box TN VMI 84, n=2[CR]Small box S.C. VMI 81, n=2[CR]Large box TN VMI 85, n=32[CR]total n=161[CR][CR]Notes from 2nd tag:[CR]VMI #__ Tenn[CR]mixed 2-23-28[CR]51 good pc[CR]4 on cards[CR]Drawer A-20"
000060009.0000,PREHISTORIC,MINERAL,STONE,flaked stone tools,mixed lithic,stone tools,264.00,VMI - specific collector unknown,Beech Bluff,United States,Tennessee,Madison,,Beech Bluff,,"Mixed flaked tools - points, blades, knives, etc.[CR][CR]Cigar box lid label reads:[CR]A3 Tenn VMI 128[CR]original count not listed here[CR]Rt. side 25 pts[CR]TENN-xxx[CR][CR]In cigar box, paper label reads:[CR]1 Adena[CR]Beaver tail in frame #8[CR][CR]Tag reads:[CR]A-8 TN[CR]Original count 262[CR]Count by GCS 264"
000060010.0000,PREHISTORIC,MINERAL,STONE,flaked stone tools,mixed lithic,stone tools,346.00,VMI - specific collector unknown,,United States,Tennessee,,,,,"Tag reads:[CR]A-5 TN[CR]Original count 351 pcs (includes 109 arrowheads, 20 spearheads, 26 war points)[CR][CR]Count by GCS 351 pcs"
000060011.0000,PREHISTORIC,MINERAL,STONE,flaked stone tools,mixed lithic,stone tools,295.00,VMI - specific collector unknown,,United States,Tennessee,,,,,Tag reads:[CR]A-10 TN[CR]Original count 319[CR]Count by GCS 320
000060012.0000,PREHISTORIC,MINERAL,CERAMIC,potsherd,ceramic,potsherd,88.00,VMI - specific collector unknown,,United States,Virginia,,,,,Bag labeled VA127
000060013.0000,PREHISTORIC,MINERAL,STONE,projectile point,quartzite,stone tools,1.00,VMI - specific collector unknown,,United States,Virginia,,,,,In bag labeled VA127 with potsherds VMNH 60011.
000060014.0000,PREHISTORIC,MINERAL,STONE,flaked stone tools,mixed lithic,stone tools,151.00,VMI - specific collector unknown,,United States,Tennessee,,,,,Tag reads:[CR]A3 Tennessee[CR]Tenn 128
000060015.0000,PREHISTORIC,MINERAL,STONE,projectile point,mixed lithic,Big Sandy,13.00,VMI - specific collector unknown,,United States,Tennessee,,,,,"VMI A3-L[CR]16 Big Sandy (note: count is actually 13, not 16)"
000060016.0000,PREHISTORIC,MINERAL,STONE,flaked stone tools,mixed lithic,stone tools,160.00,VMI - specific collector unknown,,United States,Tennessee,,,,,VMI A18[CR]Tennessee
000060017.0000,PREHISTORIC,MINERAL,STONE,flaked stone tools,mixed lithic,stone tools,46.00,VMI - specific collector unknown,,United States,Tennessee,,,,,"VMI, tag reads Tennessee A-16"
